徐蓓蓓,基于本体的突发事件舆情知识库建设研究,突发事件/网络舆情知识库/本体/UML映射
赵金楼,基于用户感知、偏好和涉入的微博舆情传播意愿影响因素研究,感知/偏好/涉入/传播意愿/信任/结构方程
张玥,基于ELM模型的微博舆情传播影响因素研究——以新浪微博为例,微博舆情/舆情传播/ELM模型/信息内容/信源特征
王旭仁,基于改进聚类算法的网络舆情分析系统研究,互联网舆情/数据挖掘/关键词提取/文本聚类
高航,政府重大投资项目舆情传播与舆情风险关系研究,舆情传播/舆情风险/舆情信息/传播方式/传播主体/政府重大投资项目
李天龙,微博舆情生成机制研究,微博舆情/生成系统/生成要素/生成机制
陈涛,一种基于在线评论共现特征词的舆情事件相关度计算方法,网络舆情/在线评论/共现特征词/相关度
刘继,面向舆情主题的微博用户网络影响力挖掘分析,网络舆情/大数据/微博/网络结构/舆情主题/数据挖掘
方付建,网络舆情研究中量化方法应用态势分析,网络舆情/量化研究/定量分析/预警与监测/内容分析法
高航,基于系统动力学的网络舆情风险模型仿真研究,网络舆情/舆情风险/舆情事件/政府公信力/网络媒体/系统动力学
詹建,基于主题河的网络舆情可视化关联分析方法,主题河/可视化/网络舆情
邹伟,网络新闻中黄岩岛争端事件舆情研究——以新浪网“中菲黄岩岛争端”专题为例,黄岩岛/舆情/网络新闻/Gephi/新浪网
唐子茜,基于网络舆情的社会心态及调适机制研究——以我国中部某地级市互联网百姓论坛为例,网络舆情/社会心态/调适机制
陈涛,基于模糊元胞自动机的网络舆情演化模型,有向小世界网络/网络舆情/模糊元胞自动机/演化
沈阳,基于复杂因子的网络舆情推演研究,影响因子/网络舆情推演/结构方程模型/舆情演变规律
叶平浩,基于知识图谱的网络舆情研究现状分析,社会化网络分析/知识图谱/网络舆情/共词分析
陈涛,基于搜索引擎关注度的网络舆情时空演化比较分析——以谷歌趋势和百度指数比较为例,搜索引擎/关注度/网络舆情/谷歌/百度
王林,基于突发事件的微博集群行为舆情感知实验,突发事件/集群行为/舆情预警/舆情危机/舆情传播/引导策略
曹学艳,基于最小二乘法的突发事件网络舆情演化规律研究,突发事件/网络舆情/演化/最小二乘法
刘继,基于微博用户转发行为的舆情信息传播模式分析,网络舆情/微博/信息传播/转发行为/关键点/网络结构
陈福集,系统动力学视角下政府回应网络舆情的能力提升研究,网络舆情/系统动力学/模型仿真/政府回应能力/网民/传媒/网媒
曹树金,网络舆情突发异常识别及关键算法研究,网络舆情/突发异常/模式识别/关键算法
曹树金,网络舆情主题标引算法与实现,网络舆情/主题标引/自动标引
曹树金,网络舆情意见挖掘中极性词典构建和极性识别方法研究,舆情/意见挖掘/极性词/极性词典/极性识别
曹树金,网络舆情监控系统中的主题帖自动标引及情感倾向分析研究,网络舆情/舆情控制/主题帖/自动标引/情感倾向/文本倾向性
王根生,网络舆情群体极化动力模型与仿真分析,网络舆情/群体极化/影响因素/动力关系
高承实,基于主题分类的网络舆情观测指数体系研究,舆情影响指数/舆情趋势指数/舆情累积指数/主题分类/容忍度
张玉亮,基于发生周期的突发事件网络舆情风险评价指标体系,突发事件/网络舆情/风险/评价指标
李嘉,网络舆情冲突类言语行为研究,言语行为/自动分类/网络舆情/冲突
狄国强,网络舆情事件的系统动力学模型与仿真,网络舆情事件/网络舆情危机/舆情热度/危机预警/系统动力学/模型仿真
邓尚民,基于AHP的高校网络舆情安全评估指标体系构建研究,高校/网络舆情/指标体系/AHP/安全评估
兰月新,突发事件网络舆情谣言传播规律模型及对策研究,网络谣言/传播模型/网络舆情
姚长青,基于主题的舆情跟踪方法研究及性能评价,舆情跟踪/文本分类/自然语言处理
黄炜,网络舆情主题信息采集研究,网络群体性事件/网络舆情/主题爬虫/领域本体/主题因子
阎宇,信息孤岛背景下提高地方政府网络舆情应对能力的对策性思考,信息孤岛/地方政府/网络舆情
钱颖,微博舆情传播规律研究,新浪微博/突发事件/SIR模型/微博舆情模型
石进,企业竞争情报系统建设中的舆情监控研究,竞争情报系统/企业危机/舆情监控/预警
崔薇,中国网络舆情研究文献计量分析,网络舆情/CNKI/文献计量分析
张一文,非常规突发事件网络舆情热度评价体系研究,非常规突发事件/网络舆情热度/指标体系
王根生,迁移元胞自动机网络舆情演化模型(M2CA),元胞自动机/迁移元胞/倾向度/M2CA/自信度
钱庆,主题追踪在医药卫生体制改革舆情监测系统中的应用,主题追踪/医药卫生体制改革/舆情监测/信息监测
高承实,微博舆情监测指标体系研究,微博/舆情/指标体系/层次分析法
董亚倩,基于社会网络分析的网络舆情主体挖掘研究,网络舆情/舆情主体/社会网络分析
陈焱,网络舆情话题的数据立方体模型分析,网络舆情/舆情话题分析/数据立方体模型/网络舆情预警
陈忆金,网络舆情信息监测研究进展,网络舆情/信息监测/舆情分析/意见挖掘/模式识别/舆情监测系统
陈桂鸿,网络舆情信息提取与预处理研究,网络舆情/信息提取/文本预处理/中文分词/句法分析
王兰成,舆情搜索引擎中网页信息的采集与抽取研究,网络舆情/抽取规则/新闻网页/信息抽取
高承实,网络舆情几个基本问题的探讨,舆情/网络舆情/网络舆情事件/演化过程
李纲,Web2.0环境下企业网络舆情传播过程的研究及实证分析,网络舆情/Web2.0/传播模型
李弼程,网络舆情态势分析模式研究,网络舆情/话题检测/态势分析模式/预警
宗利永,危机沟通环境中网络舆情演变的Multi-Agent建模研究,网络舆情/多主体建模/演化/舆论子场
宗利永,基于注意力资源分配机制的网络危机舆情演变研究,网络舆情/注意力资源/多主体建模
朱恒民,互联网舆情演化的动态网络模型研究,互联网/网络舆情/网络模型
范立国,公共信息网络舆情智能分析系统的分析与设计,网络舆情/综合信息采集/全文检索/数据关联挖掘
